Name,Position,Swim,SwimBike,Bike,BikeRun,Run,Final,Gender,Division
Kyle Jones,257,1:11:42,00:06:20,5:46:07,00:05:54,3:28:54,10:38:58,M,25-29

Melanie Ott,258,1:06:42,00:04:27,5:13:45,00:04:02,4:10:01,10:38:58,F,35-39

Rodolfo Ramon Ocampo Aldana,259,1:29:14,00:04:22,5:08:56,00:05:47,3:51:14,10:39:33,M,40-44

Travis Keane,260,1:02:00,00:04:11,5:12:53,00:04:43,4:16:00,10:39:47,M,50-54

Jason Jones,261,1:10:33,00:09:33,5:05:36,00:06:42,4:07:45,10:40:10,M,40-44

Dave Lundberg,262,1:07:48,00:05:26,5:20:04,00:05:00,4:02:05,10:40:24,M,55-59

Kedrick Shin,263,00:55:55,00:07:13,5:46:50,00:07:47,3:42:55,10:40:40,M,25-29

Anne Clinton,264,1:04:15,00:04:22,5:29:32,00:05:23,3:57:40,10:41:11,F,40-44

Anders Muren,265,1:06:28,00:04:25,5:09:45,00:03:52,4:16:47,10:41:17,M,25-29

Sam Thompson,266,1:06:34,00:04:27,4:59:30,00:04:06,4:26:55,10:41:31,M,40-44

Raphael Hallenbarter,267,1:18:43,00:04:39,5:20:25,00:05:10,3:52:52,10:41:49,M,45-49

Jennifer Vollmann,268,1:15:38,00:05:34,5:16:27,00:04:37,3:59:44,10:41:59,F,40-44

Derek Cooper,269,1:06:47,00:07:04,5:35:19,00:05:30,3:47:20,10:41:59,M,35-39

Juan Diaz Bernard,270,1:08:22,00:05:14,5:34:46,00:05:32,3:48:31,10:42:25,M,55-59

Ignacio Carnevale,271,1:05:23,00:05:00,5:34:16,00:06:19,3:52:35,10:43:33,M,25-29

John Wilson,272,1:10:02,00:04:48,5:11:58,00:06:21,4:10:29,10:43:39,M,65-69

Peggy Yetman,273,1:07:55,00:03:40,5:26:18,00:05:27,4:00:41,10:44:02,F,55-59

Fernando Camargo,274,1:15:18,00:04:57,5:17:33,00:05:39,4:01:16,10:44:42,M,45-49

Tomas Gonzalez Arrona,275,1:16:00,00:07:31,5:16:45,00:06:14,3:58:19,10:44:49,M,45-49

Enrique Guerrero,276,1:15:35,00:05:59,5:21:24,00:05:05,3:57:04,10:45:08,M,45-49

Kristen Lipscomb,277,1:08:06,00:04:44,5:22:32,00:05:05,4:05:04,10:45:33,F,35-39

Jonathan Bylund,278,1:18:14,00:08:20,4:46:59,00:08:34,4:23:40,10:45:46,M,40-44

Pim Lebouille,279,00:59:16,00:03:42,5:09:21,00:05:14,4:28:40,10:46:13,M,25-29

Mitch Nolan,280,1:23:08,00:07:12,5:13:36,00:06:33,3:55:48,10:46:16,M,25-29

Heather Schuh,281,1:08:53,00:06:40,5:10:21,00:04:05,4:16:38,10:46:37,F,45-49

Diego Sawczuk,282,1:05:49,00:05:24,5:30:27,00:05:37,3:59:24,10:46:41,M,45-49

Paulette Dalton,283,1:18:44,00:04:22,5:28:53,00:04:46,3:50:03,10:46:48,F,35-39

Eric Donahue,284,1:09:49,00:04:10,5:25:33,00:04:31,4:02:52,10:46:55,M,35-39

Mitchell Sides,285,1:15:14,00:05:46,4:57:10,00:04:07,4:24:40,10:46:57,M,30-34

Matthew Johnson,286,1:27:20,00:06:49,5:37:42,00:06:31,3:28:45,10:47:06,M,25-29

Katie Messerall,287,1:17:54,00:06:04,5:43:24,00:04:40,3:35:41,10:47:43,F,40-44

Rodrigo Recalde Larrea,288,1:13:30,00:05:27,5:25:32,00:04:02,3:59:53,10:48:24,M,45-49

Rob Mott,289,1:13:29,00:04:53,5:03:28,00:07:43,4:19:44,10:49:17,M,50-54

Erick Marquez,290,1:32:29,00:09:00,5:26:49,00:07:34,3:33:37,10:49:28,M,40-44

Laura Fairhurst,291,1:10:55,00:05:00,5:11:27,00:05:25,4:16:52,10:49:39,F,40-44

Jorge Acosta,292,1:20:55,00:08:06,5:25:20,00:07:29,3:47:59,10:49:50,M,55-59

Joel Wendell,293,1:16:34,00:08:26,5:20:04,00:06:21,3:58:33,10:49:58,M,55-59

Jeff Hinds,294,1:15:26,00:10:24,5:04:48,00:10:21,4:09:04,10:50:03,M,40-44

James Garcia,295,1:17:22,00:07:57,5:32:07,00:06:12,3:46:48,10:50:26,M,40-44

Maricarmen Del Valle,296,1:04:43,00:03:56,5:41:53,00:04:25,3:55:30,10:50:27,F,25-29

David Zientek,297,1:13:22,00:05:41,5:13:31,00:06:09,4:11:49,10:50:32,M,25-29

Blade Allen,298,1:08:24,00:05:42,5:22:52,00:05:00,4:08:34,10:50:33,M,25-29

Wylie Edick,299,1:10:14,00:04:52,5:24:56,00:06:54,4:04:06,10:51:02,M,18-24

Ana Gabriela Obregon,300,1:18:18,00:06:24,5:35:29,00:06:03,3:44:58,10:51:12,F,45-49

Lee Cotterell,301,1:17:34,00:09:07,4:49:15,00:05:36,4:30:14,10:51:46,M,35-39

Charles Pantangco,302,1:18:57,00:04:32,5:27:49,00:04:36,3:55:52,10:51:46,M,35-39

Ashley Mcdonald,303,1:16:00,00:05:51,5:27:23,00:04:47,3:57:51,10:51:53,F,35-39

Juan Ignacio Vivas,304,1:13:25,00:07:07,5:14:53,00:05:20,4:11:13,10:51:58,M,35-39

Dustin Pitts,305,1:20:36,00:06:48,5:20:41,00:07:21,3:56:49,10:52:14,M,35-39

Renata Barduco De Oliveira,306,1:11:43,00:06:30,5:22:14,00:04:59,4:06:59,10:52:25,F,45-49

Kellen Moczulski,307,1:35:12,00:05:23,5:08:59,00:05:31,3:57:33,10:52:38,M,30-34

Catherine Jadot,308,1:10:42,00:05:15,5:42:07,00:04:19,3:50:57,10:53:21,F,45-49

Shane Peed,309,1:26:42,00:04:59,4:56:35,00:05:45,4:20:28,10:54:30,M,35-39

Lisa Cabiles,310,1:13:03,00:06:41,5:35:22,00:10:33,3:49:02,10:54:41,F,40-44

Casey Edick,311,1:16:14,00:06:06,5:16:12,00:06:34,4:09:39,10:54:44,M,50-54

Lazar Kosmajac,312,1:25:30,00:06:03,5:09:21,00:07:04,4:07:36,10:55:34,M,30-34

Ana Andrade,313,1:09:25,00:06:24,5:27:21,00:06:59,4:05:31,10:55:39,F,45-49

Jason Wilford,314,1:07:47,00:06:04,5:31:10,00:09:45,4:01:10,10:55:56,M,45-49

Evgeny Pankin,315,1:12:15,00:09:23,5:30:57,00:10:18,3:53:24,10:56:17,M,35-39

Karen Wood,316,1:08:26,00:04:57,5:25:35,00:05:38,4:11:54,10:56:31,F,50-54

Tomasz Socha,317,1:17:10,00:05:49,5:06:28,00:04:32,4:22:51,10:56:50,M,55-59

Steve Leary,318,1:06:05,00:05:16,5:24:40,00:05:19,4:15:31,10:56:51,M,40-44

Katie Dickerson,319,1:07:48,00:06:29,5:42:18,00:06:16,3:54:08,10:57:01,F,40-44

Adam Richard,320,1:15:05,00:08:17,5:33:25,00:08:47,3:51:39,10:57:14,M,25-29

Bryan Kelley,321,1:09:15,00:06:47,5:15:34,00:08:52,4:16:46,10:57:15,M,35-39

John Roche,322,1:14:10,00:06:23,5:20:48,00:05:18,4:10:43,10:57:22,M,45-49

Elizabeth Eser,323,1:08:13,00:05:26,5:32:29,00:05:47,4:06:17,10:58:12,F,30-34

Perla Janet Perales Cazares,324,1:24:01,00:07:05,5:49:34,00:07:21,3:30:13,10:58:13,F,35-39

Judit Erdélyi-Szádvári,325,1:18:34,00:05:40,5:29:22,00:04:22,4:00:26,10:58:24,F,35-39

Michael George,326,1:09:40,00:08:27,5:34:47,00:06:55,3:58:49,10:58:38,M,25-29

Francesco Paez Cian,327,1:14:11,00:06:34,5:27:18,00:06:47,4:04:04,10:58:53,M,45-49

Kaleb Shelton,328,1:20:53,00:05:19,5:43:14,00:04:38,3:44:52,10:58:57,M,25-29

Michal Chovanec,329,1:07:58,00:04:49,5:10:48,00:05:10,4:30:33,10:59:18,M,50-54

Matthew Kantner,330,1:17:02,00:04:56,5:44:52,00:05:49,3:46:44,10:59:23,M,25-29

Ashton George,331,1:12:46,00:04:40,5:21:50,00:03:58,4:16:26,10:59:41,F,25-29

Amy Kilpin,332,1:16:53,00:04:53,5:35:18,00:05:27,3:57:10,10:59:41,F,35-39

Meredith Moss,333,1:08:44,00:09:07,5:48:19,00:09:38,3:44:16,11:00:05,F,40-44

Gianfranco Chiurillo,334,1:23:00,00:05:53,5:22:25,00:06:18,4:02:34,11:00:09,M,40-44

Ryan Wynne,335,1:18:40,00:05:31,5:19:28,00:08:23,4:08:38,11:00:41,M,45-49

Veronica Vara,336,1:28:20,00:05:30,5:32:58,00:04:12,3:50:07,11:01:06,F,45-49

Steven Moody,337,1:16:40,00:04:54,5:28:52,00:09:27,4:01:44,11:01:38,M,50-54

Greg Hartshorne,338,1:10:00,00:06:47,5:12:23,00:05:24,4:27:17,11:01:51,M,35-39

Shinichiro Marui,339,1:16:23,00:06:12,5:21:01,00:08:13,4:10:07,11:01:55,M,50-54

Ezequiel Benvenuto,340,1:28:21,00:05:30,5:33:00,00:05:14,3:50:05,11:02:11,M,40-44

Carlos Benitez Sanchez,341,1:13:21,00:05:34,5:40:03,00:05:01,3:58:13,11:02:12,M,50-54

Tim Brown,342,1:02:16,00:04:37,5:07:59,00:06:26,4:41:24,11:02:43,M,55-59

Nancy Agrillo,343,1:31:47,00:08:08,5:37:00,00:06:03,3:39:48,11:02:46,F,55-59

Dean Sprague,344,1:05:10,00:05:41,5:41:20,00:05:01,4:05:50,11:03:02,M,60-64

Sierra Delmonico,345,1:04:09,00:03:55,5:55:47,00:03:25,3:56:25,11:03:41,F,18-24

Julian Jaramillo,346,1:11:11,00:05:44,5:33:25,00:06:08,4:07:35,11:04:01,M,45-49

Tara Calkins,347,1:07:18,00:07:04,5:39:34,00:06:28,4:03:43,11:04:06,F,45-49

Bobby Lee,348,00:56:31,00:06:08,5:47:22,00:06:33,4:07:37,11:04:11,F,30-34

David Martin,349,1:11:33,00:04:39,5:19:40,00:04:38,4:23:58,11:04:28,M,55-59

Alexander Sapunov,350,1:10:16,00:06:11,5:27:26,00:06:47,4:14:18,11:04:59,M,35-39

Francisco Ibañez,351,1:25:18,00:09:50,5:33:31,00:07:43,3:49:12,11:05:33,M,40-44

Megan Delonge,352,1:04:21,00:08:42,5:45:17,00:07:19,4:00:05,11:05:45,F,40-44

Spencer Trussell,353,1:10:47,00:05:23,5:32:57,00:07:00,4:09:46,11:05:54,M,25-29

Jose Lomonaco,354,1:09:57,00:06:13,5:32:25,00:05:16,4:12:35,11:06:27,M,45-49

Richard Higgins,355,1:06:05,00:07:43,5:05:09,00:06:43,4:41:15,11:06:56,M,35-39

Tyrone Dunson,356,1:20:10,00:10:05,5:26:09,00:08:38,4:01:56,11:06:59,M,55-59

Ueda Koji,357,1:07:19,00:03:50,5:33:29,00:05:56,4:16:52,11:07:26,M,55-59

Austin Brown,358,1:17:29,00:06:16,5:31:07,00:07:14,4:05:26,11:07:32,M,30-34

Stephanie Thompson,359,1:07:29,00:04:53,5:47:58,00:06:03,4:01:08,11:07:32,F,30-34

Matthew Liberator,360,1:22:54,00:09:00,5:55:10,00:08:48,3:31:42,11:07:34,M,30-34

Robert Amick,361,1:10:47,00:10:54,6:00:57,00:08:56,3:36:01,11:07:35,M,25-29

Marc Casablancas,362,1:21:33,00:08:14,5:38:23,00:08:40,3:51:18,11:08:09,M,50-54

Jermin Chou,363,1:19:33,00:07:07,5:40:54,00:07:07,3:53:57,11:08:38,M,55-59

Colin Singleton,364,1:17:33,00:06:17,5:16:53,00:07:33,4:20:38,11:08:55,M,45-49

Abdurrahman Ipekisleyen,365,1:23:08,00:07:36,5:31:57,00:08:05,3:58:12,11:08:57,M,50-54

Isabel Bustamante,366,1:13:51,00:04:57,5:52:39,00:05:10,3:53:03,11:09:40,F,25-29

Joaquin Castillo,367,1:13:53,00:07:13,5:44:39,00:08:17,3:55:50,11:09:52,M,55-59

Codie Pigott,368,1:18:24,00:05:30,5:28:52,00:07:24,4:10:04,11:10:15,M,30-34

Ryan Seams,369,1:06:42,00:07:06,5:23:00,00:12:01,4:21:25,11:10:15,M,30-34

Julita Sikora,370,1:17:30,00:04:55,5:28:02,00:04:54,4:15:03,11:10:23,F,50-54

Guy Hachey,371,1:09:46,00:06:53,5:21:59,00:07:13,4:24:36,11:10:27,M,65-69

Jason Philbin,372,1:17:23,00:05:02,5:31:05,00:07:17,4:09:42,11:10:30,M,50-54

Rae Glaser,373,1:14:50,00:04:49,5:53:06,00:07:14,3:50:37,11:10:36,F,40-44

Joshua Gatz,374,1:00:12,00:09:29,5:29:42,00:12:08,4:19:08,11:10:38,M,30-34

Jake Boyer,375,1:01:41,00:06:07,5:28:44,00:07:56,4:26:24,11:10:51,M,25-29

James Brown,376,00:59:37,00:05:52,5:27:23,00:07:07,4:30:56,11:10:55,M,60-64

Shantel Pack,377,1:22:18,00:05:03,5:32:36,00:05:20,4:05:52,11:11:10,F,45-49

Peter Edmonds,378,1:08:01,00:04:10,5:29:13,00:05:01,4:25:04,11:11:29,M,30-34

Kyle Dacey,379,1:12:49,00:07:29,5:25:07,00:05:45,4:20:21,11:11:31,M,30-34

Veronica Mancheno,380,1:31:45,00:12:50,5:33:13,00:10:02,3:43:53,11:11:43,F,50-54

Dane Shaw,381,1:07:53,00:04:55,5:11:59,00:09:28,4:37:32,11:11:47,M,40-44

Andy Shibata,382,1:15:22,00:08:02,5:40:42,00:08:31,3:59:11,11:11:48,M,50-54

Britni Bakk,383,1:10:15,00:04:11,5:27:07,00:03:46,4:27:03,11:12:22,F,55-59

DALLAS HOLVERSON,384,1:18:50,00:07:04,5:40:45,00:06:40,3:59:14,11:12:33,M,55-59

Kristen Day,385,1:03:27,00:06:56,5:39:56,00:05:39,4:16:42,11:12:40,F,40-44

Ryan Lynch,386,1:05:44,00:05:20,5:41:17,00:06:41,4:13:43,11:12:45,M,30-34

Adam Krommenhoek,387,1:11:59,00:09:16,5:19:40,00:09:03,4:23:03,11:13:01,M,45-49

Rob Tetrault,388,1:15:30,00:07:16,5:52:53,00:06:38,3:50:45,11:13:01,M,40-44

Bruno Savard,389,1:11:28,00:05:46,5:34:23,00:06:08,4:15:34,11:13:19,M,50-54

Steve Johns,390,1:09:08,00:05:53,5:15:00,00:06:15,4:37:25,11:13:40,M,45-49

Devin Johnson,391,1:13:58,00:10:33,5:29:52,00:08:42,4:11:01,11:14:06,M,30-34

Fernando Sosa,392,1:11:47,00:06:00,5:36:24,00:07:52,4:12:05,11:14:06,M,45-49

Laurence Gonzalez,393,1:22:30,00:05:35,5:56:13,00:05:20,3:44:42,11:14:19,M,25-29

Ruben Ortiz,394,1:15:41,00:04:06,5:26:21,00:06:19,4:22:08,11:14:34,M,40-44

Sebastian Benitez,395,1:21:06,00:05:58,5:36:28,00:07:42,4:03:22,11:14:36,M,40-44

Arthus Del Rio,396,1:15:58,00:04:56,5:21:12,00:05:11,4:27:36,11:14:54,M,50-54

Michael Jaskot,397,1:15:27,00:05:55,5:14:32,00:04:06,4:34:59,11:14:58,M,40-44

Josh Dyck,398,1:09:19,00:05:12,4:58:29,00:04:37,4:57:42,11:15:20,M,45-49

Yaron Griner,399,1:13:43,00:06:01,5:15:43,00:06:28,4:33:39,11:15:34,M,50-54

Mike Hart,400,1:23:14,00:08:19,5:37:41,00:06:36,3:59:48,11:15:39,M,40-44

Joshua Stephens,401,1:14:19,00:07:05,5:11:46,00:10:05,4:32:25,11:15:39,M,35-39

Patricia Grajeda-Babb,402,1:04:09,00:05:00,5:40:39,00:05:08,4:20:54,11:15:49,F,40-44

Robert Martinez,403,1:23:48,00:05:33,5:32:43,00:08:29,4:05:50,11:16:23,M,50-54

Matthew Lewellen,404,1:13:18,00:07:09,5:34:49,00:08:28,4:12:51,11:16:34,M,45-49

Ann Hammer,405,1:02:35,00:03:50,5:20:33,00:07:24,4:42:30,11:16:52,F,40-44

Rafael Rivera,406,1:15:29,00:06:19,5:43:24,00:08:16,4:03:33,11:17:02,M,40-44

Ilia Savin,407,1:18:07,00:10:00,5:12:44,00:07:02,4:29:11,11:17:03,M,25-29

Alojs Hunjadi,408,1:09:38,00:03:37,5:07:20,00:06:58,4:49:34,11:17:06,M,35-39

Andrew Johnson,409,1:11:30,00:04:29,5:53:44,00:05:34,4:02:07,11:17:24,M,35-39

Graham Polando,410,1:23:14,00:05:37,5:46:01,00:06:46,3:56:09,11:17:48,M,40-44

Paul Gallardo,411,1:23:37,00:06:50,5:39:03,00:07:14,4:01:05,11:17:48,M,55-59

Gabriel Rodriguez,412,1:03:00,00:06:18,5:25:20,00:05:55,4:37:19,11:17:51,M,25-29

Avnish Rembhotkar,413,1:09:08,00:06:29,5:04:50,00:06:21,4:51:06,11:17:54,M,18-24

Jessie Kenny,414,1:05:54,00:05:45,5:57:00,00:05:46,4:03:40,11:18:04,F,40-44

Pablo Demederos Almaraz,415,1:13:43,00:06:17,5:57:52,00:04:03,3:56:18,11:18:12,M,25-29

Norman Colon,416,1:08:39,00:04:25,5:06:28,00:04:15,4:54:32,11:18:19,M,40-44

Crystal Moore,417,1:24:39,00:08:50,5:32:09,00:08:25,4:04:32,11:18:34,F,35-39

Jessica Gonzalez,418,1:19:33,00:06:17,5:35:23,00:08:04,4:09:29,11:18:46,F,40-44

Kurt Madden,419,1:01:42,00:05:05,5:27:24,00:06:12,4:39:41,11:20:03,M,65-69

Raquel Sampson,420,1:12:59,00:05:25,5:42:19,00:07:09,4:12:26,11:20:19,F,50-54

Jean-Bernard Martel,421,1:18:18,00:05:18,5:26:07,00:08:04,4:22:33,11:20:20,M,40-44

Julie Stolarcikova,422,1:15:20,00:05:00,5:48:50,00:04:37,4:06:37,11:20:24,F,40-44

Romulo Herrera,423,1:18:28,00:04:59,5:39:21,00:04:59,4:12:43,11:20:30,M,25-29

Ana Miller,424,1:19:45,00:05:42,5:42:50,00:05:52,4:06:27,11:20:36,F,45-49

Mike Catlin,425,1:08:43,00:05:50,5:10:05,00:06:07,4:49:56,11:20:40,M,65-69

Jeff Bezaire,426,1:09:43,00:09:31,5:49:11,00:09:40,4:02:44,11:20:48,M,45-49

Scott Spinali,427,1:14:18,00:07:25,5:13:29,00:06:30,4:39:21,11:21:03,M,18-24

Rolando Cruz Campillo,428,1:14:10,00:06:34,5:39:19,00:07:48,4:13:29,11:21:21,M,50-54

Laurie Funk,429,1:25:49,00:07:03,5:29:32,00:07:47,4:11:42,11:21:52,F,40-44

Darren Raines,430,1:07:53,00:06:49,5:32:23,00:07:30,4:27:24,11:21:59,M,30-34

Katrine Brock,431,1:22:34,00:04:52,5:14:45,00:04:38,4:35:13,11:22:02,F,30-34

Sebastian Melin,432,1:11:37,00:08:53,5:27:23,00:14:48,4:19:47,11:22:29,M,40-44

John Evansky,433,1:22:41,00:06:53,5:13:45,00:07:02,4:32:09,11:22:31,M,45-49

Ryan Kuithe,434,1:24:10,00:11:08,5:11:17,00:09:48,4:26:20,11:22:42,M,30-34

Glenn Brown,435,1:17:56,00:07:33,6:01:04,00:10:30,3:46:03,11:23:06,M,45-49

Claire Calkins,436,1:15:45,00:05:49,5:54:09,00:05:32,4:01:55,11:23:10,F,18-24

John Couch,437,1:11:23,00:05:28,5:34:58,00:03:14,4:28:19,11:23:21,M,35-39

Gabriela Gomez,438,1:18:43,00:04:46,5:38:48,00:05:11,4:15:59,11:23:27,F,30-34

Sarah Sawaya,439,1:17:27,00:05:33,5:56:36,00:07:02,3:57:08,11:23:45,F,18-24

Orlando Roberto,440,1:30:47,00:05:36,5:20:00,00:08:27,4:19:08,11:23:59,M,60-64

Jason Meissner,441,1:23:12,00:05:28,5:48:32,00:09:08,3:57:38,11:23:59,M,30-34

Karem Lajara,442,1:24:03,00:05:53,5:19:50,00:07:06,4:27:20,11:24:12,F,45-49

Bryson Pope,443,1:18:00,00:04:52,5:56:36,00:07:51,3:57:04,11:24:23,M,30-34

Mary Tobiason,444,1:12:54,00:04:48,5:41:50,00:04:59,4:19:59,11:24:31,F,50-54

Sarah Jones,445,1:16:52,00:05:31,6:05:13,00:07:14,3:49:49,11:24:38,F,50-54

Cody Curatolo,446,1:23:05,00:04:58,5:08:22,00:03:37,4:44:58,11:25:00,M,30-34

Juan Estrella,447,1:19:20,00:09:09,5:22:24,00:10:04,4:24:04,11:25:00,M,55-59

Christopher Beerman,448,1:20:36,00:09:40,5:43:33,00:07:38,4:03:51,11:25:18,M,40-44

Robert Dautrich,449,1:08:51,00:05:16,5:29:58,00:08:29,4:33:10,11:25:45,M,35-39

Viridiana Olmos,450,1:08:41,00:05:39,5:16:36,00:05:01,4:49:54,11:25:51,F,35-39

Emily Salandro,451,00:59:35,00:07:04,5:39:49,00:05:43,4:33:43,11:25:55,F,40-44

Andrew Shen,452,1:23:48,00:06:29,5:36:54,00:06:43,4:12:18,11:26:12,M,18-24

John Bailey,453,1:16:53,00:10:22,5:21:18,00:11:21,4:26:49,11:26:43,M,35-39

Paul Scheuren,454,1:12:08,00:04:56,5:15:50,00:05:49,4:48:01,11:26:44,M,40-44

Kyle Nappo,455,1:14:33,00:08:49,5:37:37,00:08:36,4:17:18,11:26:54,M,35-39

Doug Guthrie,456,1:20:27,00:09:57,5:35:50,00:10:25,4:10:55,11:27:35,M,55-59

James Esau,457,1:14:52,00:06:45,5:25:50,00:05:41,4:34:55,11:28:02,M,40-44

Steve Callister,458,1:13:44,00:11:22,5:46:04,00:09:13,4:08:20,11:28:42,M,35-39

Miguel Medina,459,1:15:03,00:05:31,5:27:32,00:06:14,4:34:25,11:28:45,M,45-49

Andrea Hirth,460,1:11:43,00:06:29,5:34:59,00:07:10,4:29:23,11:29:43,F,50-54

Francisco Javier Leal Hirales,461,1:14:07,00:08:27,5:35:13,00:07:47,4:24:22,11:29:57,M,55-59

Joaquim Fàbrega,462,1:13:10,00:07:04,5:37:38,00:08:13,4:24:00,11:30:05,M,30-34

Geovanny Rey González,463,1:27:12,00:05:31,5:56:27,00:07:00,3:54:01,11:30:11,M,25-29

Aaron Jones,464,1:13:08,00:04:39,5:27:04,00:05:22,4:40:45,11:30:58,M,25-29

Gerd Pfister,465,1:24:02,00:06:50,5:13:51,00:07:51,4:38:29,11:31:03,M,55-59

Michael Meyer,466,1:03:49,00:07:18,5:41:48,00:07:23,4:31:01,11:31:19,M,30-34

Cortney Charlesworth,467,1:27:40,00:07:27,5:51:01,00:07:17,3:58:00,11:31:25,F,30-34

Gregory Labelle,468,1:03:41,00:07:34,5:35:11,00:08:13,4:36:52,11:31:30,M,45-49

Wilfredo Jun Ellorimo,469,1:20:13,00:08:33,5:27:23,00:11:29,4:24:15,11:31:52,M,45-49

Andrew Boone,470,1:26:12,00:08:48,5:51:37,00:08:07,3:57:18,11:32:02,M,40-44

Steven Goad,471,1:15:25,00:12:39,5:40:57,00:14:59,4:08:03,11:32:03,M,30-34

Marco Skrinjar,472,1:17:18,00:05:25,5:07:14,00:05:52,4:56:15,11:32:03,M,60-64

Walid Nassar,473,1:22:41,00:03:51,5:42:50,00:04:37,4:18:06,11:32:06,M,30-34

Nelson Ramos,474,1:16:06,00:05:04,5:33:20,00:07:56,4:29:53,11:32:19,M,40-44

Paul Fredette,475,1:24:13,00:06:12,5:04:13,00:05:58,4:52:15,11:32:50,M,45-49

Marykate Mclaughlin,476,1:21:12,00:06:11,5:38:04,00:07:14,4:20:12,11:32:54,F,50-54

Kelsey Ramberg,477,1:10:39,00:05:58,5:57:19,00:03:59,4:15:34,11:33:29,F,30-34

Josh Treter,478,1:03:11,00:04:26,6:18:31,00:06:56,4:00:25,11:33:30,M,45-49

Leighton Main,479,1:13:25,00:10:02,5:41:42,00:08:43,4:19:41,11:33:34,M,50-54

Caitlin Thompson,480,1:11:43,00:05:53,5:53:30,00:07:09,4:15:41,11:33:55,F,35-39

Patrick Abadie,481,1:14:35,00:06:13,5:22:11,00:07:14,4:43:42,11:33:56,M,35-39

Pablo Jullian Grohnert,482,1:23:59,00:06:55,5:36:57,00:08:18,4:18:08,11:34:16,M,60-64

Darwin Douglas,483,1:20:28,00:09:15,5:59:33,00:08:29,3:56:54,11:34:38,M,18-24

Tomas F Latorre Rubio,484,1:18:56,00:05:16,5:21:51,00:04:38,4:43:58,11:34:39,M,55-59

Trevor Bates,485,1:04:13,00:05:22,5:40:58,00:05:27,4:38:46,11:34:46,M,25-29

Rick Nguyen,486,1:52:05,00:07:52,5:55:11,00:04:27,3:35:16,11:34:51,M,50-54

Joseph Campbell,487,1:03:27,00:16:31,5:37:20,00:09:11,4:28:24,11:34:53,M,35-39

Andy Jones,488,1:04:36,00:05:40,5:36:51,00:08:35,4:39:12,11:34:53,M,60-64

Sergio Vera Lopez,489,1:21:32,00:08:37,5:27:50,00:06:20,4:30:42,11:35:01,M,45-49

Alexandra Kelly,490,1:30:10,00:08:11,5:36:14,00:06:19,4:14:11,11:35:05,F,40-44

Rob Burgess,491,1:03:28,00:05:57,5:45:42,00:07:31,4:32:43,11:35:21,M,40-44

Shane Murphy-Pociask,492,1:01:51,00:07:16,5:49:18,00:06:27,4:30:34,11:35:24,M,25-29

Cathy Casey,493,1:07:03,00:08:14,6:12:49,00:10:43,3:56:37,11:35:26,F,45-49

Maria Lozovskaya,494,1:30:24,00:05:32,5:26:14,00:04:39,4:28:42,11:35:30,F,40-44

Marcelo Altuna,495,1:13:07,00:05:32,5:24:21,00:07:57,4:44:54,11:35:51,M,55-59

Robert Looney,496,1:15:18,00:08:01,5:38:50,00:06:57,4:27:03,11:36:09,M,40-44

Robert Gregory,497,1:13:30,00:09:32,5:50:23,00:06:20,4:17:36,11:37:21,M,55-59

Ezra Swell,498,1:04:26,00:03:39,4:48:58,00:03:24,5:37:11,11:37:39,M,18-24

Marcelo Dotti Ratti,499,1:23:06,00:09:45,5:39:29,00:10:18,4:15:02,11:37:40,M,45-49

Liz Vitai,500,1:14:05,00:05:53,5:27:21,00:07:55,4:42:31,11:37:46,F,55-59

Christian Martineau,501,1:18:13,00:08:36,5:44:55,00:09:00,4:17:14,11:37:58,M,45-49

Javier Aguirre,502,1:13:12,00:07:54,5:47:30,00:10:12,4:19:12,11:38:01,M,30-34

Josh Murphy,503,1:16:09,00:07:15,5:52:46,00:06:27,4:15:37,11:38:15,M,30-34

John Slyer,504,1:18:11,00:07:55,5:49:19,00:09:32,4:13:55,11:38:52,M,55-59

Bobby Zeller,505,1:14:21,00:04:06,5:31:16,00:05:31,4:43:50,11:39:04,M,30-34

Alejandra Ribera,506,1:35:16,00:06:49,5:41:30,00:06:02,4:09:29,11:39:06,F,35-39

Beth Ulibarri,507,1:16:40,00:06:09,5:51:54,00:05:17,4:19:19,11:39:19,F,50-54

Laura Cunningham,508,1:18:43,00:05:36,6:18:14,00:05:32,3:51:47,11:39:52,F,40-44

Donald Sanders,509,1:16:42,00:06:19,5:25:48,00:09:24,4:41:49,11:40:01,M,50-54

Kyle Stone,510,1:17:26,00:07:33,5:24:40,00:05:13,4:45:24,11:40:16,M,50-54

Philippe Gondre,511,1:03:27,00:05:33,5:24:44,00:10:20,4:56:53,11:40:57,M,60-64

Francisco Perez,512,1:28:37,00:06:41,5:45:06,00:08:22,4:12:17,11:41:03,M,45-49

Williamson Jonathan,513,1:21:40,00:07:13,5:49:04,00:08:12,4:14:59,11:41:08,M,45-49

